sample_id,dataset,task_type,source_index,dev_index,input_1,input_2,choices,gold_label,negation_cues,importance,source_annotation,selection_method
N102,QNLI,natural_language_inference,403,3373,Name a larger car that Toyota came up with as buyers lamented the small sized compacts?,"Some buyers lamented the small size of the first Japanese compacts, and both Toyota and Nissan (then known as Datsun) introduced larger cars such as the Toyota Corona Mark II, the Toyota Cressida, the Mazda 616 and Datsun 810, which added passenger space and amenities such as air conditioning, power steering, AM-FM radios, and even power windows and central locking without increasing the price of the vehicle.",,entailment,without [71],unimportant,Hossain et al. released GitHub annotation,all important; fixed-seed sample of eligible unimportant
N103,SST-2,sentiment_analysis,133,816,"a spellbinding african film about the modern condition of rootlessness , a state experienced by millions around the globe .",,,positive,rootlessness [9],unimportant,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N104,SST-2,sentiment_analysis,107,144,"while ( hill ) has learned new tricks , the tricks alone are not enough to salvage this lifeless boxing film .",,,negative,not [13] | lifeless [18],important,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N105,CommonsenseQA,question_answering,23,,"They were kissing each other good bye, they had no worries because their relationship had a strong foundation of what?",,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""partner"", ""trust"", ""cooperation"", ""bricks"", ""herpes""]}",B,no [10],important,Hossain et al. released GitHub annotation,fixed-seed sample of important; all unimportant
N106,CommonsenseQA,question_answering,33,,What does a gambler do that causes him or her to be unhappy?,,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""play cards"", ""double winnings"", ""lose money"", ""play poker"", ""to win the prize""]}",C,unhappy [12],important,Hossain et al. released GitHub annotation,fixed-seed sample of important; all unimportant
N107,SST-2,sentiment_analysis,166,619,an unclassifiably awful study in self - and audience-abuse .,,,negative,unclassifiably [1],unimportant,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N108,CommonsenseQA,question_answering,177,,"James decided that competing was the right choice.   Not competing has a defined outcome, but if he competes then what could happen?",,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""might win"", ""perform better"", ""enemies"", ""winners and losers"", ""lose""]}",A,Not [9],unimportant,Hossain et al. released GitHub annotation,fixed-seed sample of important; all unimportant
N109,SST-2,sentiment_analysis,6,199,"at the very least , if you do n't know anything about derrida when you walk into the theater , you wo n't know much more when you leave .",,,negative,n't [8] | n't [22],important,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N110,CommonsenseQA,question_answering,57,,What do most companies not want to have relative to demand?,,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""oversupply"", ""plentitude"", ""stockpile"", ""superabundance"", ""busy""]}",A,not [4],important,Hossain et al. released GitHub annotation,fixed-seed sample of important; all unimportant
N111,SST-2,sentiment_analysis,58,230,reign of fire looks as if it was made without much thought -- and is best watched that way .,,,positive,without [9],unimportant,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N112,SST-2,sentiment_analysis,67,194,"instead of a hyperbolic beat-charged urban western , it 's an unpretentious , sociologically pointed slice of life .",,,positive,unpretentious [13],important,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N113,SST-2,sentiment_analysis,84,328,an unwise amalgam of broadcast news and vibes .,,,negative,unwise [1],important,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N114,CommonsenseQA,question_answering,141,,James was meeting a friend.  They had planed a slow day. They didn't want to do much.  They just wanted what?,,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""relaxation"", ""panic"", ""alarm"", ""joy"", ""cheer""]}",A,did [15],unimportant,Hossain et al. released GitHub annotation,fixed-seed sample of important; all unimportant
N115,SST-2,sentiment_analysis,36,167,the end result is a film that 's neither .,,,negative,neither [8],unimportant,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N116,SST-2,sentiment_analysis,28,398,"despite its title , punch-drunk love is never heavy-handed .",,,positive,never [9],important,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N117,SST-2,sentiment_analysis,51,356,"jason x is positively anti-darwinian : nine sequels and 400 years later , the teens are none the wiser and jason still kills on auto-pilot .",,,negative,none [18],unimportant,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N118,CommonsenseQA,question_answering,169,,"Dan was a farmer with just one heifer.  But that was okay, he only kept her for milk, and he didn't think he'd find good farmland in a place as cold as where?",,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""arizona"", ""farm yard"", ""michigan"", ""german field"", ""dairy farm""]}",C,did [24],unimportant,Hossain et al. released GitHub annotation,fixed-seed sample of important; all unimportant
N119,CommonsenseQA,question_answering,101,,"The man in the white suit was very lazy.  He did nothing useful.  Meanwhile, the ban in the blue had put in effort and was very what?",,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""restless"", ""active"", ""lazybutt"", ""productive"", ""hard work""]}",D,did [12],unimportant,Hossain et al. released GitHub annotation,fixed-seed sample of important; all unimportant
N120,QNLI,natural_language_inference,116,2161,How many vector equations did Heaviside and Gibbs reformilate Maxwell's 20 scalar equtions into?,"The origin of electric and magnetic fields would not be fully explained until 1864 when James Clerk Maxwell unified a number of earlier theories into a set of 20 scalar equations, which were later reformulated into 4 vector equations by Oliver Heaviside and Josiah Willard Gibbs.",,entailment,not [8],unimportant,Hossain et al. released GitHub annotation,all important; fixed-seed sample of eligible unimportant
N121,SST-2,sentiment_analysis,132,568,"it does nothing new with the old story , except to show fisticuffs in this sort of stop-go slow motion that makes the gang rumbles look like they 're being streamed over a 28k modem .",,,negative,nothing [2],unimportant,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N122,SST-2,sentiment_analysis,153,827,"the movie , directed by mick jackson , leaves no cliche unturned , from the predictable plot to the characters straight out of central casting .",,,negative,no [9],unimportant,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N123,CommonsenseQA,question_answering,106,,"Brad tried to arise from bed but he could not.  Instead, he just continued to do what?",,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""go down"", ""fall down"", ""lie down"", ""lie to himself"", ""sit down""]}",C,not [9],unimportant,Hossain et al. released GitHub annotation,fixed-seed sample of important; all unimportant
N124,SST-2,sentiment_analysis,37,695,"sit through this one , and you wo n't need a magic watch to stop time ; your dvd player will do it for you .",,,negative,n't [8],important,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N125,CommonsenseQA,question_answering,131,,Paul wants carrots and doesn't need to drive anywhere. He gets them from where?,,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""refrigerator"", ""store"", ""farmer's market"", ""supermarket"", ""dryer""]}",A,n't [5],important,Hossain et al. released GitHub annotation,fixed-seed sample of important; all unimportant
N126,QNLI,natural_language_inference,110,2810,Which sculpture by Rodin was not donated by the artist?,"Rodin is represented by more than 20 works in the museum collection, making it one of the largest collections of the sculptor's work outside France; these were given to the museum by the sculptor in 1914, as acknowledgement of Britain's support of France in World War I, although the statue of St John the Baptist had been purchased in 1902 by public subscription.",,entailment,not [5],important,Hossain et al. released GitHub annotation,all important; fixed-seed sample of eligible unimportant
N127,SST-2,sentiment_analysis,174,423,i am sorry that i was unable to get the full brunt of the comedy .,,,negative,unable [6],unimportant,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N128,QNLI,natural_language_inference,126,909,Interest groups and government agencies that were concerned with energy were no match for who?,"In the United States, scholars argue that there already existed a negotiated settlement based on equality between both parties prior to 1973.",,not_entailment,no [11],unimportant,Hossain et al. released GitHub annotation,all important; fixed-seed sample of eligible unimportant
N129,SST-2,sentiment_analysis,21,292,the story and the friendship proceeds in such a way that you 're watching a soap opera rather than a chronicle of the ups and downs that accompany lifelong friendships .,,,negative,rather [17],unimportant,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N130,CommonsenseQA,question_answering,128,,"John didn't mind getting in line.  It was what game after that he hated.  The time, the sore feet. He did not like doing what?",,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""have to wait for"", ""standing in line"", ""eat cake"", ""less confusion"", ""being ordered""]}",B,n't [2] | He [26],unimportant,Hossain et al. released GitHub annotation,fixed-seed sample of important; all unimportant
N131,CommonsenseQA,question_answering,117,,"James was someone who was caught in his own delusions.  To him, the truth didn't do what what?",,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""work to advantage"", ""matter to"", ""help"", ""free mind"", ""further knowledge""]}",B,did [17],important,Hossain et al. released GitHub annotation,fixed-seed sample of important; all unimportant
N132,CommonsenseQA,question_answering,107,,Where can a human find clothes that aren't pants?,,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""pants shop"", ""on planet earth"", ""dress shop"", ""school"", ""train wreck""]}",C,n't [8],unimportant,Hossain et al. released GitHub annotation,fixed-seed sample of important; all unimportant
N133,CommonsenseQA,question_answering,3,,What is a place that usually does not have an elevator and that sometimes has a telephone book?,,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""at hotel"", ""kitchen"", ""library"", ""telephone booth"", ""house""]}",E,not [7],important,Hossain et al. released GitHub annotation,fixed-seed sample of important; all unimportant
N134,CommonsenseQA,question_answering,6,,If not in a stream but in a market where will you find fish?,,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""stream"", ""aquarium"", ""refrigerator"", ""boat ride"", ""market""]}",C,not [1],important,Hossain et al. released GitHub annotation,fixed-seed sample of important; all unimportant
N135,SST-2,sentiment_analysis,51,110,"scores no points for originality , wit , or intelligence .",,,negative,no [1],important,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N136,SST-2,sentiment_analysis,190,671,two hours fly by -- opera 's a pleasure when you do n't have to endure intermissions -- and even a novice to the form comes away exhilarated .,,,positive,n't [12],unimportant,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N137,SST-2,sentiment_analysis,11,793,"... an otherwise intense , twist-and-turn thriller that certainly should n't hurt talented young gaghan 's resume .",,,positive,n't [14],important,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N138,SST-2,sentiment_analysis,40,343,no way i can believe this load of junk .,,,negative,no [0],unimportant,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N139,SST-2,sentiment_analysis,62,665,"and if you 're not nearly moved to tears by a couple of scenes , you 've got ice water in your veins .",,,positive,not [4],unimportant,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N140,CommonsenseQA,question_answering,37,,How are the conditions for someone who is living in a homeless shelter?,,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""sometimes bad"", ""happy"", ""respiration"", ""growing older"", ""death""]}",A,homeless [11],important,Hossain et al. released GitHub annotation,fixed-seed sample of important; all unimportant
N141,SST-2,sentiment_analysis,185,782,the structure the film takes may find matt damon and ben affleck once again looking for residuals as this officially completes a good will hunting trilogy that was never planned .,,,positive,never [28],unimportant,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N142,CommonsenseQA,question_answering,138,,Where is a ferret unlikely to be?,,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""classroom"", ""outdoors"", ""aquarium"", ""north carolina"", ""great britain""]}",A,unlikely [4],important,Hossain et al. released GitHub annotation,fixed-seed sample of important; all unimportant
N143,SST-2,sentiment_analysis,65,514,"this is an egotistical endeavor from the daughter of horror director dario argento ( a producer here ) , but her raw performance and utter fearlessness make it strangely magnetic .",,,positive,fearlessness [25],unimportant,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N144,SST-2,sentiment_analysis,55,630,a taut psychological thriller that does n't waste a moment of its two-hour running time .,,,positive,n't [6],important,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N145,CommonsenseQA,question_answering,62,,What has a shelf that does not allow you to see what is inside of it?,,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""chest of drawers"", ""stove"", ""hold alcohol"", ""bookcase"", ""grocery store""]}",A,not [6],important,Hossain et al. released GitHub annotation,fixed-seed sample of important; all unimportant
N146,CommonsenseQA,question_answering,46,,"Sam wasn't lying, but he left out important details. He was being what?",,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""dishonesty"", ""deceitful"", ""imagination"", ""deceptive"", ""poker face""]}",B,n't [2],unimportant,Hossain et al. released GitHub annotation,fixed-seed sample of important; all unimportant
N147,CommonsenseQA,question_answering,43,,"Eating is part of living, but your body doesn't use it all and the next day you will be doing what?",,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""reduced"", ""getting full"", ""becoming full"", ""chewing"", ""defecating""]}",E,n't [10],unimportant,Hossain et al. released GitHub annotation,fixed-seed sample of important; all unimportant
N148,SST-2,sentiment_analysis,120,843,a wildly inconsistent emotional experience .,,,negative,inconsistent [2],unimportant,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N149,CommonsenseQA,question_answering,74,,If a person isn't able to pay their bills what must they do?,,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""know everything"", ""acknowledgment"", ""make more money"", ""throw a party"", ""spare time""]}",C,n't [4],unimportant,Hossain et al. released GitHub annotation,fixed-seed sample of important; all unimportant
N150,SST-2,sentiment_analysis,100,435,a marvel like none you 've seen .,,,positive,none [3],unimportant,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N151,SST-2,sentiment_analysis,30,871,"looking aristocratic , luminous yet careworn in jane hamilton 's exemplary costumes , rampling gives a performance that could not be improved upon . '",,,positive,not [19],important,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N152,SST-2,sentiment_analysis,149,437,"immersing us in the endlessly inventive , fiercely competitive world of hip-hop djs , the project is sensational and revelatory , even if scratching makes you itch .",,,positive,endlessly [4],unimportant,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N153,CommonsenseQA,question_answering,91,,At a shop what can you buy to put your spare unused things?,,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""basement"", ""cardboard box"", ""ocean floor"", ""high school"", ""container""]}",E,unused [11],unimportant,Hossain et al. released GitHub annotation,fixed-seed sample of important; all unimportant
N154,QNLI,natural_language_inference,665,103,In what magazine did Tesla talk about reflecting electricity off of submarine's hulls?,"Tesla was incorrect in his assumption that high frequency radio waves would penetrate water but Émile Girardeau, who helped develop France's first radar system in the 1930s, noted in 1953 that Tesla's general speculation that a very strong high frequency signal would be needed was correct stating ""(Tesla) was prophesying or dreaming, since he had at his disposal no means of carrying them out, but one must add that if he was dreaming, at least he was dreaming correctly."":266",,not_entailment,incorrect [2] | no [66],unimportant,Hossain et al. released GitHub annotation,all important; fixed-seed sample of eligible unimportant
N155,SST-2,sentiment_analysis,144,70,"for all its impressive craftsmanship , and despite an overbearing series of third-act crescendos , lily chou-chou never really builds up a head of emotional steam .",,,negative,never [21],important,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N156,SST-2,sentiment_analysis,134,653,"a lackluster , unessential sequel to the classic disney adaptation of j.m. barrie 's peter pan .",,,negative,lackluster [1] | unessential [3],important,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N157,SST-2,sentiment_analysis,14,697,not since tom cruise in risky business has an actor made such a strong impression in his underwear .,,,positive,not [0],unimportant,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N158,SST-2,sentiment_analysis,48,145,the best that can be said about the work here of scottish director ritchie ... is that he obviously does n't have his heart in it .,,,negative,n't [20],important,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N159,SST-2,sentiment_analysis,129,538,"it 's so mediocre , despite the dynamic duo on the marquee , that we just ca n't get no satisfaction .",,,negative,n't [17] | no [19],important,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N160,SST-2,sentiment_analysis,1,34,"it does n't believe in itself , it has no sense of humor ... it 's just plain bored .",,,negative,n't [2] | no [9],important,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N161,CommonsenseQA,question_answering,7,,The kids didn't clean up after they had done what?,,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""learn things"", ""play games"", ""disneyland"", ""play with toys"", ""talking""]}",D,n't [3],unimportant,Hossain et al. released GitHub annotation,fixed-seed sample of important; all unimportant
N162,CommonsenseQA,question_answering,85,,Joe and Jill didn't want their children to be sedentary.  They might limit the time they children spend doing what?,,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""play sports"", ""throw things"", ""reading"", ""watch tv"", ""play with toys""]}",D,n't [4],important,Hossain et al. released GitHub annotation,fixed-seed sample of important; all unimportant
N163,SST-2,sentiment_analysis,56,515,"if looking for a thrilling sci-fi cinematic ride , do n't settle for this imposter .",,,negative,n't [12],important,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N164,CommonsenseQA,question_answering,35,,Sally thought that competing wasn't worth the risk. If she pushed more what might happen?,,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""pressure"", ""trying harder"", ""put harder"", ""enemies"", ""death""]}",E,n't [5],unimportant,Hossain et al. released GitHub annotation,fixed-seed sample of important; all unimportant
N165,SST-2,sentiment_analysis,45,224,"nothing 's at stake , just a twisty double-cross you can smell a mile away -- still , the derivative nine queens is lots of fun .",,,positive,nothing [0],unimportant,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N166,SST-2,sentiment_analysis,44,117,"moody , heartbreaking , and filmed in a natural , unforced style that makes its characters seem entirely convincing even when its script is not .",,,positive,unforced [10] | not [24],unimportant,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N167,CommonsenseQA,question_answering,161,,Where can you go to use a piano in your neighborhood if you don't have one?,,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""music school"", ""music store"", ""neighbor's house"", ""lunch"", ""drawing room""]}",C,n't [14],unimportant,Hossain et al. released GitHub annotation,fixed-seed sample of important; all unimportant
N168,SST-2,sentiment_analysis,93,824,late marriage 's stiffness is unlikely to demonstrate the emotional clout to sweep u.s. viewers off their feet .,,,negative,unlikely [5],unimportant,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N169,SST-2,sentiment_analysis,40,735,the experience of going to a film festival is a rewarding one ; the experiencing of sampling one through this movie is not .,,,negative,not [22],important,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N170,CommonsenseQA,question_answering,34,,"There was more than one bum asking for change or a ticket, it was the cheapest way to travel so it was no surprise sight at the what?",,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""train station"", ""beach"", ""bus depot"", ""bridge"", ""stumblebum""]}",C,no [23],unimportant,Hossain et al. released GitHub annotation,fixed-seed sample of important; all unimportant
N171,QNLI,natural_language_inference,454,2945,What was the name of the blind date concept program debuted by ABC in 1966?,"In December of that year, the ABC television network premiered The Dating Game, a pioneer series in its genre, which was a reworking of the blind date concept in which a suitor selected one of three contestants sight unseen based on the answers to selected questions.",,entailment,unseen [41],unimportant,Hossain et al. released GitHub annotation,all important; fixed-seed sample of eligible unimportant
N172,SST-2,sentiment_analysis,28,800,"for all its technical virtuosity , the film is so mired in juvenile and near-xenophobic pedagogy that it 's enough to make one pine for the day when godard can no longer handle the rigors of filmmaking .",,,negative,no [32],unimportant,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N173,SST-2,sentiment_analysis,167,59,"it 's just disappointingly superficial -- a movie that has all the elements necessary to be a fascinating , involving character study , but never does more than scratch the surface .",,,negative,never [24],important,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N174,SST-2,sentiment_analysis,54,369,"without ever becoming didactic , director carlos carrera expertly weaves this novelistic story of entangled interrelationships and complex morality .",,,positive,without [0],important,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N175,CommonsenseQA,question_answering,90,,People do many things to alleviate boredom.  If you can't get out of the house you might decide to do what?,,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""play cards"", ""skateboard"", ""meet interesting people"", ""listen to music"", ""go to a concert""]}",D,ca [11],important,Hossain et al. released GitHub annotation,fixed-seed sample of important; all unimportant
N176,SST-2,sentiment_analysis,47,127,"in the end , we are left with something like two ships passing in the night rather than any insights into gay love , chinese society or the price one pays for being dishonest .",,,negative,rather [16],important,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N177,SST-2,sentiment_analysis,119,662,there 's not enough here to justify the almost two hours .,,,negative,not [2],important,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N178,QNLI,natural_language_inference,98,4914,Who along with Russia supported post WW-II communist movements?,"The Soviet Union and the People’s Republic of China supported post–World War II communist movements in foreign nations and colonies to advance their own interests, but were not always successful.",,entailment,not [31],unimportant,Hossain et al. released GitHub annotation,all important; fixed-seed sample of eligible unimportant
N179,SST-2,sentiment_analysis,52,606,makes for a pretty unpleasant viewing experience .,,,negative,unpleasant [4],important,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N180,SST-2,sentiment_analysis,34,65,you wonder why enough was n't just a music video rather than a full-length movie .,,,negative,n't [5],important,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N181,SST-2,sentiment_analysis,30,750,"nelson 's brutally unsentimental approach ... sucks the humanity from the film , leaving behind an horrific but weirdly unemotional spectacle .",,,negative,unsentimental [3] | unemotional [19],unimportant,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N182,SST-2,sentiment_analysis,48,819,"the movie is dawn of the dead crossed with john carpenter 's ghosts of mars , with zombies not as ghoulish as the first and trains not as big as the second .",,,negative,not [18] | not [26],important,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N183,SST-2,sentiment_analysis,162,350,"his comedy premises are often hackneyed or just plain crude , calculated to provoke shocked laughter , without following up on a deeper level .",,,negative,without [17],important,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N184,CommonsenseQA,question_answering,65,,Why do people read non fiction?,,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""having fun"", ""it's more relatable"", ""learn new things"", ""becoming absorbed"", ""falling asleep""]}",C,non [4],important,Hossain et al. released GitHub annotation,fixed-seed sample of important; all unimportant
N185,CommonsenseQA,question_answering,149,,John and James are idiots. They bought two tickets to the Falcons vs the Jets even though neither wanted to see the what?,,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""internet cafe"", ""sporting event"", ""pressing wrong buttons"", ""obesity"", ""hockey game""]}",B,neither [18],unimportant,Hossain et al. released GitHub annotation,fixed-seed sample of important; all unimportant
N186,SST-2,sentiment_analysis,89,79,this is a train wreck of an action film -- a stupefying attempt by the filmmakers to force-feed james bond into the mindless xxx mold and throw 40 years of cinematic history down the toilet in favor of bright flashes and loud bangs .,,,negative,mindless [24],unimportant,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N187,SST-2,sentiment_analysis,83,788,"based on a devilishly witty script by heather mcgowan and niels mueller , the film gets great laughs , but never at the expense of its characters",,,positive,never [20],unimportant,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N188,SST-2,sentiment_analysis,127,796,"a fitfully amusing romp that , if nothing else , will appeal to fans of malcolm in the middle and its pubescent star , frankie muniz .",,,positive,nothing [7],unimportant,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N189,CommonsenseQA,question_answering,16,,"The buildings were intended to not have residential kitchens in them, what were they designed for?",,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""large city"", ""small"", ""eat cake"", ""university"", ""town""]}",D,not [5],unimportant,Hossain et al. released GitHub annotation,fixed-seed sample of important; all unimportant
N190,SST-2,sentiment_analysis,108,94,"byler reveals his characters in a way that intrigues and even fascinates us , and he never reduces the situation to simple melodrama .",,,positive,never [16],important,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N191,QNLI,natural_language_inference,320,1622,Where did Jebe die?,"The famous cavalry expedition led by Subutai and Jebe, in which they encircled the entire Caspian Sea defeating all armies in their path, remains unparalleled to this day, and word of the Mongol triumphs began to trickle to other nations, particularly Europe.",,not_entailment,unparalleled [26],unimportant,Hossain et al. released GitHub annotation,all important; fixed-seed sample of eligible unimportant
N192,CommonsenseQA,question_answering,5,,"She feared that she had cancer, but upon discovering truth that she hadn't, what was her attitude toward life?",,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""conclusion"", ""pain"", ""happiness"", ""relief"", ""boring""]}",C,n't [14],important,Hossain et al. released GitHub annotation,fixed-seed sample of important; all unimportant
N193,CommonsenseQA,question_answering,118,,"They were never going to be big actors, but they all had passion for the local what?",,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""theater"", ""opera"", ""show"", ""television"", ""blockbuster feature""]}",A,never [2],unimportant,Hossain et al. released GitHub annotation,fixed-seed sample of important; all unimportant
N194,CommonsenseQA,question_answering,120,,"The child didn't know the problems his mother was going through, all he had was what for her?",,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""care"", ""balloon"", ""loved"", ""become adult"", ""learn""]}",C,n't [3],unimportant,Hossain et al. released GitHub annotation,fixed-seed sample of important; all unimportant
N195,CommonsenseQA,question_answering,25,,Where would a person live if they wanted no neighbors?,,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""housing estate"", ""neighborhood"", ""mars"", ""woods"", ""suburbs""]}",D,no [8],important,Hossain et al. released GitHub annotation,fixed-seed sample of important; all unimportant
N196,CommonsenseQA,question_answering,94,,Where would you get a toothpick if you do not have any?,,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""box"", ""grocery store"", ""eyes"", ""chewing"", ""mouth""]}",B,not [9],unimportant,Hossain et al. released GitHub annotation,fixed-seed sample of important; all unimportant
N197,SST-2,sentiment_analysis,95,831,it 's made with deftly unsettling genre flair .,,,positive,unsettling [5],unimportant,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N198,SST-2,sentiment_analysis,14,88,fresnadillo 's dark and jolting images have a way of plying into your subconscious like the nightmare you had a week ago that wo n't go away .,,,positive,n't [24],unimportant,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N199,CommonsenseQA,question_answering,87,,"Stark was just having fun, and he wasn't hurting anyone.  What might have he been doing?",,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""painting his nails"", ""playing marbles"", ""constructing"", ""need for rest"", ""wild ride""]}",B,n't [9],unimportant,Hossain et al. released GitHub annotation,fixed-seed sample of important; all unimportant
N200,SST-2,sentiment_analysis,68,707,no telegraphing is too obvious or simplistic for this movie .,,,negative,no [0],unimportant,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N201,QNLI,natural_language_inference,101,4700,What happens if a member doesn't vote the party line?,"Errant members can be deselected as official party candidates during future elections, and, in serious cases, may be expelled from their parties outright.",,entailment,n't [6],important,Hossain et al. released GitHub annotation,all important; fixed-seed sample of eligible unimportant
N202,CommonsenseQA,question_answering,21,,A supermarket is uncommon in what type of collection of shops?,,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""strip mall"", ""city or town"", ""shoppingcentre"", ""boutique"", ""vermont""]}",A,uncommon [3],important,Hossain et al. released GitHub annotation,fixed-seed sample of important; all unimportant
